PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
122196,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122197,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122198,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122199,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122200,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122201,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122202,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122203,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122204,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122205,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122206,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122207,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122208,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122209,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122210,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122211,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122212,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122213,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122214,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122215,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122216,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122217,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122218,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122219,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122220,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122221,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122222,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122223,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122224,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122225,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122226,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122227,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122228,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122229,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122230,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122231,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122232,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122233,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
122234,49.001100,8.252600,0.000000,27984.379678,57875.016080,0,0,0,0
